Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="61073a0d-35ee-4f8c-8007-0c322359d98f",="AUI-10354","16","90:15","0.00","USD","362.481",="FLO | EVC386 | SLID 155257 | 838 S Barrington Ave"
="9119542b-62d6-41f4-a0b4-2059cb0bec6c",="AUI-10375","62","382:16","0.00","USD","1020.293",="FLO | EVC387 | SLID 170570 | 4294 Coldwater Canyon Ave"
="26b4ad86-6aa8-48cd-a167-cdd9d9b956fb",="AUI-10380","57","257:47","0.00","USD","1009.383",="FLO | EVC388 | SLID 73105 | 4319 Whitsett Ave"
="d64eb9f5-3d16-4b64-b10e-00d8ee6bab3a",="AUI-10373","4","0:43","0.00","USD","2.448",="FLO | EVC389 | SLID 147340 | 15450 Plummer St"
="6725e606-960b-486a-ab53-f9779be9244e",="AUI-10349","4","1:39","0.00","USD","8.703",="FLO | EVC390 | SLID 17822 | 11175 Glenoaks Blvd"
="737e2c9b-9a28-450b-a6a0-2afeee269c14",="AUI-10347","7","5:30","0.00","USD","28.777",="FLO | EVC391 | SLID 178622 | 9776 S Sepulveda Blvd"
="c03e43f6-dcf4-466e-b9cd-368098a42e26",="AUI-10355","17","52:04","0.00","USD","99.232",="FLO | EVC392 | SLID 198501 | 8932 Woodman Ave"
="9d4c590e-b909-4aaf-ac48-420d0f416f23",="AUI-10351","46","168:10","0.00","USD","331.887",="FLO | EVC393 | SLID 64375 | 17415 Vanowen St"
="8e7d8d3d-9ac8-4b43-a40f-0d1f895c2ca7",="AUI-10341","8","12:34","0.00","USD","83.206",="FLO | EVC396 | SLID 77859 | 4349 E Valley Blvd"
="6014f68a-eafc-464f-9c3d-5939ff27ed0b",="AUI-10337","29","33:36","0.00","USD","209.732",="FLO | EVC397 | SLID 144277 | 1751 Westwood Blvd"
="665cec26-46be-4f52-ab37-8cf60362a5f8",="AUI-10378","95","367:29","0.00","USD","1803.186",="FLO | EVC398 | SLID 94499 | 6959 Esplanade St"
